_id,_labels,name
252.0,:Patent,包装盒（静腌牛排系列）
253.0,:Patent,包装盒（整切牛排系列）
254.0,:Patent,包装盒（牛排系列）
255.0,:Patent,包装袋（黑椒牛排）
256.0,:Patent,包装袋（汤圆系列）
257.0,:Patent,包装袋（水饺系列）
258.0,:Patent,包装袋（香糯汤圆系列）
259.0,:Patent,包装袋（鸡蛋干纸杯蒸系列）
260.0,:Patent,包装盒套件（心服粽）
261.0,:Patent,手撕袋（心服粽）
262.0,:Patent,一种油烟头入烟机
263.0,:Patent,旋转备台式自动售货机
264.0,:Patent,旋转备台及售货机
265.0,:Patent,旋转备台及售货机
266.0,:Patent,取货门及售货机
267.0,:Patent,筷子站立引导机构
268.0,:Patent,一种饺子站立引导机构和滚模式饺子机
269.0,:Patent,一种饺子站立引导机构
270.0,:Patent,包装袋（开花馒头系列）
271.0,:Patent,包装袋（彩蝶花卷系列）
272.0,:Patent,包装袋（炫彩小汤圆系列）
273.0,:Patent,包装袋（炫彩一粒双色小圆子）
274.0,:Patent,包装袋（果然多水果汤圆系列）
275.0,:Patent,一次成型的合模机构
276.0,:Patent,花式汤圆
277.0,:Patent,汤圆托盘
278.0,:Patent,开花包子
279.0,:Patent,开花馒头（红糖）
280.0,:Patent,开花馒头（紫薯南瓜黑米）
281.0,:Patent,花卷（双色蝴蝶）
282.0,:Patent,花卷（702栈道系列）
283.0,:Patent,包装袋（702经典系列）
284.0,:Patent,包装袋（702东北系列）
285.0,:Patent,一种速冻微波蒸饪及其制备方法
286.0,:Patent,点心（心形带馅芝士）
287.0,:Patent,点心（贝壳海盐芝士）
288.0,:Patent,一种汤圆自动灌装机
289.0,:Class,结构性金属制品制造
290.0,:Class,金属工具制造
291.0,:Class,集装箱及金属包装容器制造
292.0,:Class,金属丝绳及其制品制造
293.0,:Class,建筑、安全用金属制品制造
294.0,:Class,金属表面处理及热处理加工
295.0,:Class,搪瓷制品制造
296.0,:Class,金属制日用品制造
297.0,:Class,铸造及其他金属制品制造
298.0,:Class,锅炉及原动设备制造
299.0,:Class,金属加工机械制造
300.0,:Class,物料搬运设备制造
301.0,:Class,泵、阀门、压缩机及类似机械制造
302.0,:Class,轴承、齿轮和传动部件制造
303.0,:Class,烘炉、风机、包装等设备制造
304.0,:Class,文化、办公用机械制造
305.0,:Class,通用零部件制造
306.0,:Class,其他通用设备制造业
307.0,:Class,采矿、冶金、建筑专用设备制造
308.0,:Class,化工、木材、非金属加工专用设备制造
309.0,:Class,食品、饮料、烟草及饲料生产专用设备制造
310.0,:Class,印刷、制药、日化及日用品生产专用设备制造
311.0,:Class,纺织、服装和皮革加工专用设备制造
312.0,:Class,电子和电工机械专用设备制造
313.0,:Class,农、林、牧、渔专用机械制造
314.0,:Class,医疗仪器设备及器械制造
315.0,:Class, 环保、邮政、社会公共服务及其他专用设备制造
316.0,:Class,汽车整车制造
317.0,:Class,汽车用发动机制造
318.0,:Class,改装汽车制造
319.0,:Class,低速汽车制造
320.0,:Class,电车制造
321.0,:Class,汽车车身、挂车制造
322.0,:Class,汽车零部件及配件制造
323.0,:Class,铁路运输设备制造
324.0,:Class,城市轨道交通设备制造
325.0,:Class,船舶及相关装置制造
326.0,:Class,航空、航天器及设备制造
327.0,:Class,摩托车制造
328.0,:Class,自行车和残疾人座车制造
329.0,:Class,助动车制造
330.0,:Class,非公路休闲车及零配件制造
331.0,:Class,潜水救捞及其他未列明运输设备制造
332.0,:Class,电机制造
333.0,:Class,输配电及控制设备制造
334.0,:Class,电线、电缆、光缆及电工器材制造
335.0,:Class,电池制造
336.0,:Class,家用电力器具制造
337.0,:Class,非电力家用器具制造
338.0,:Class,照明器具制造
339.0,:Class,其他电气机械及器材制造
340.0,:Class,计算机制造
341.0,:Class,通信设备制造
342.0,:Class,广播电视设备制造
343.0,:Class,雷达及配套设备制造
344.0,:Class,非专业视听设备制造
345.0,:Class,智能消费设备制造
346.0,:Class,电子器件制造
347.0,:Class,电子元件及电子专用材料制造
348.0,:Class,其他电子设备制造
349.0,:Class,通用仪器仪表制造
350.0,:Class,专用仪器仪表制造
351.0,:Class,钟表与计时仪器制造
352.0,:Class,光学仪器制造
353.0,:Class,衡器制造
354.0,:Class,其他仪器仪表制造业
355.0,:Company1,宇通客车股份有限公司
356.0,:Company,景蓝（吉林省）传媒影视制作有限公司
357.0,:Company,西域旅游开发股份有限公司
358.0,:Company,张家界易程天下环保客运有限公司
359.0,:Company,怒江傈僳族自治州中心血站
360.0,:Company,安吉县公共交通服务有限公司
361.0,:Company,成都医学院
362.0,:Company,喜德县人民医院
363.0,:Company,文成县红枫公交有限公司
364.0,:Company,深圳能源集团股份有限公司
365.0,:Company,上海海关学院
366.0,:Company,中国工程物理研究院科研保障中心
367.0,:Company,海西蒙古族藏族自治州人民政府办公室
368.0,:Company,湖北省鄂旅投旅游发展股份有限公司
369.0,:Company,浙江省义乌市恒风国际旅游有限公司
370.0,:Company,漯河市文旅产业投资集团有限公司
371.0,:Company,江门市文旅交通投资集团有限公司
372.0,:Company,乐昌市人民政府机关事务中心
373.0,:Company,东风汽车股份有限公司
374.0,:Company,敦化市公安局
375.0,:Company,黄冈市公共交通发展有限公司
376.0,:Company,登封市公共交通运营有限公司
377.0,:Company,重庆大学附属涪陵医院（重庆市涪陵中心医院、重庆市医疗急救中心涪陵分中心、重庆市微创外科研究所）
378.0,:Company,山东睿航文化旅游开发有限公司
379.0,:Company,延安市公共交通有限责任公司
380.0,:Company,阿坝州大九寨文化旅游投资发展集团有限责任公司
381.0,:Company,广东省湛江汽车运输集团有限公司
382.0,:Company,吉首市天行健文化旅游投资开发有限责任公司
383.0,:Company,承德避暑山庄旅游股份有限公司
384.0,:Company,拉萨市交通运输局
385.0,:Company,舟山市金塘汇通汽车运输有限公司
386.0,:Company,盱眙国联车辆维修服务有限公司
387.0,:Company,丽江民航蓝天旅游汽车服务有限责任公司
388.0,:Company,东航资产投资管理有限公司
389.0,:Company,宁波公运集团股份有限公司
390.0,:Company,邯郸公交旅游出租汽车有限公司
391.0,:Company,新疆生产建设兵团疾病预防控制中心
392.0,:Company,东营市公共交通集团有限公司
393.0,:Company,西藏米林市南伊文旅开发有限公司
394.0,:Company,浙江大元通商务旅游汽车有限公司
395.0,:Company,缙云县缙情游交通服务有限公司
396.0,:Company,重庆市汽车运输（集团）有限责任公司
397.0,:Company,重庆交运汇达实业有限公司
398.0,:Company,晋城市机关事务服务中心
